Step	PotentialEnergy	Width	Height	Area
120	-294.676346	8.4580	8.4476	71.4499
121	-294.652938	8.4614	8.4557	71.5477
122	-294.618337	8.4610	8.4662	71.6324
123	-294.631872	8.4575	8.4775	71.6986
124	-294.636006	8.4612	8.4889	71.8257
125	-294.685860	8.4622	8.5000	71.9289
126	-294.662432	8.4686	8.5080	72.0503
127	-294.627167	8.4743	8.5181	72.1855
128	-294.640582	8.4779	8.5290	72.3084
129	-294.644362	8.4810	8.5401	72.4282
130	-294.693895	8.4816	8.5509	72.5249
131	-294.670168	8.4874	8.5584	72.6389
132	-294.634537	8.4926	8.5682	72.7661
133	-294.647542	8.4957	8.5786	72.8811
134	-294.650855	8.4982	8.5892	72.9931
135	-294.700054	8.4984	8.5996	73.0831
136	-294.676092	8.5037	8.6068	73.1894
137	-294.640217	8.5084	8.6160	73.3085
138	-294.652889	8.5109	8.6260	73.4153
139	-294.655829	8.5130	8.6362	73.5193
140	-294.704773	8.5128	8.6461	73.6025
141	-294.680643	8.5175	8.6529	73.7010
142	-294.644599	8.5217	8.6617	73.8117
143	-294.657018	8.5237	8.6712	73.9102
144	-294.659670	8.5252	8.6809	74.0063
145	-294.708421	8.5247	8.6903	74.0824
146	-294.684166	8.5288	8.6967	74.1731
147	-294.647998	8.5325	8.7050	74.2752
148	-294.660222	8.5339	8.7141	74.3653
149	-294.662652	8.5350	8.7233	74.4531
150	-294.711255	8.5341	8.7323	74.5221
151	-294.686904	8.5377	8.7383	74.6048
152	-294.650643	8.5408	8.7461	74.6983
153	-294.662716	8.5417	8.7547	74.7798
154	-294.664974	8.5422	8.7634	74.8594
155	-294.713462	8.5409	8.7720	74.9211
156	-294.689038	8.5440	8.7776	74.9957
157	-294.652705	8.5465	8.7849	75.0805
158	-294.664660	8.5470	8.7930	75.1533
159	-294.666784	8.5470	8.8013	75.2244
160	-294.715183	8.5453	8.8094	75.2789
161	-294.690702	8.5478	8.8145	75.3452
162	-294.654312	8.5498	8.8214	75.4211
163	-294.666176	8.5497	8.8290	75.4852
164	-294.668196	8.5492	8.8368	75.5478
165	-294.716526	8.5472	8.8444	75.5948
166	-294.692001	8.5491	8.8492	75.6529
167	-294.655567	8.5506	8.8555	75.7198
168	-294.667360	8.5500	8.8626	75.7750
169	-294.669298	8.5490	8.8700	75.8290
170	-294.717574	8.5465	8.8771	75.8686
171	-294.693015	8.5479	8.8815	75.9183
172	-294.656547	8.5488	8.8873	75.9762
173	-294.668284	8.5477	8.8939	76.0224
174	-294.670159	8.5462	8.9008	76.0678
175	-294.718393	8.5433	8.9075	76.0999
176	-294.693806	8.5442	8.9114	76.1411
177	-294.657312	8.5446	8.9167	76.1899
178	-294.669006	8.5429	8.9229	76.2271
179	-294.670831	8.5409	8.9293	76.2638
180	-294.719032	8.5377	8.9355	76.2883
181	-294.694425	8.5380	8.9390	76.3209
182	-294.657909	8.5378	8.9438	76.3606
183	-294.669570	8.5356	8.9494	76.3888
184	-294.671356	8.5331	8.9554	76.4167
185	-294.719531	8.5295	8.9611	76.4336
186	-294.694908	8.5292	8.9642	76.4577
187	-294.658376	8.5285	8.9685	76.4881
188	-294.670010	8.5258	8.9736	76.5072
189	-294.671766	8.5227	8.9791	76.5263
190	-294.719921	8.5187	8.9844	76.5355
191	-294.695285	8.5180	8.9870	76.5511
192	-294.658741	8.5167	8.9908	76.5722
193	-294.670354	8.5135	8.9954	76.5822
194	-294.672087	8.5099	9.0004	76.5924
195	-294.720226	8.5055	9.0052	76.5941
196	-294.695580	8.5042	9.0074	76.6010
197	-294.659026	8.5024	9.0107	76.6128
198	-294.670623	8.4986	9.0148	76.6137
199	-294.672337	8.4945	9.0193	76.6151
200	-294.720464	8.4898	9.0236	76.6090
201	-294.695810	8.4879	9.0254	76.6073
202	-294.659248	8.4856	9.0282	76.6099
203	-294.670833	8.4813	9.0318	76.6016
204	-294.672533	8.4767	9.0358	76.5941
205	-294.720650	8.4716	9.0397	76.5804
206	-294.695990	8.4692	9.0410	76.5701
207	-294.659422	8.4663	9.0433	76.5634
208	-294.670997	8.4615	9.0464	76.5460
209	-294.672685	8.4564	9.0499	76.5296
210	-294.720796	8.4509	9.0533	76.5083
211	-294.696131	8.4479	9.0542	76.4893
212	-294.659558	8.4445	9.0560	76.4733
213	-294.671125	8.4391	9.0586	76.4468
214	-294.672805	8.4336	9.0616	76.4216
215	-294.720909	8.4277	9.0645	76.3927
216	-294.696241	8.4242	9.0650	76.3651
217	-294.659665	8.4202	9.0662	76.3398
218	-294.671225	8.4144	9.0683	76.3042
219	-294.672898	8.4083	9.0709	76.2702
220	-294.720998	8.4020	9.0732	76.2337
221	-294.696327	8.3980	9.0733	76.1976
222	-294.659748	8.3935	9.0741	76.1630
223	-294.671304	8.3871	9.0756	76.1184
224	-294.672971	8.3805	9.0777	76.0756
225	-294.721068	8.3739	9.0796	76.0315
226	-294.696394	8.3693	9.0792	75.9869
227	-294.659813	8.3643	9.0795	75.9431
228	-294.671365	8.3574	9.0805	75.8895
229	-294.673028	8.3503	9.0821	75.8380
230	-294.721122	8.3433	9.0835	75.7865
231	-294.696446	8.3382	9.0827	75.7333
232	-294.659863	8.3326	9.0824	75.6804
233	-294.671413	8.3252	9.0830	75.6178
234	-294.673073	8.3177	9.0840	75.5577
235	-294.721164	8.3103	9.0849	75.4987
236	-294.696487	8.3046	9.0838	75.4371
237	-294.659903	8.2985	9.0829	75.3752
238	-294.671450	8.2906	9.0830	75.3037
239	-294.673108	8.2826	9.0835	75.2350
240	-294.721197	8.2749	9.0839	75.1687
241	-294.696519	8.2686	9.0824	75.0988
242	-294.659934	8.2620	9.0810	75.0278
243	-294.671479	8.2536	9.0806	74.9476
244	-294.673135	8.2451	9.0806	74.8703
245	-294.721223	8.2370	9.0805	74.7968
246	-294.696544	8.2303	9.0785	74.7185
247	-294.659958	8.2231	9.0767	74.6387
248	-294.671502	8.2142	9.0757	74.5498
249	-294.673156	8.2052	9.0753	74.4641
250	-294.721243	8.1968	9.0747	74.3834
251	-294.696564	8.1895	9.0723	74.2970
252	-294.659977	8.1818	9.0699	74.2083
253	-294.671520	8.1724	9.0684	74.1108
254	-294.673173	8.1629	9.0675	74.0168
255	-294.721259	8.1541	9.0664	73.9290
256	-294.696579	8.1463	9.0636	73.8345
257	-294.659992	8.1381	9.0607	73.7371
258	-294.671534	8.1282	9.0587	73.6312
259	-294.673186	8.1182	9.0573	73.5290
260	-294.721272	8.1091	9.0557	73.4342
261	-294.696591	8.1090	9.0524	73.4065
262	-294.660003	8.1128	9.0491	73.4135
263	-294.671545	8.1165	9.0466	73.4263
264	-294.673196	8.1203	9.0446	73.4455
265	-294.721281	8.1252	9.0426	73.4725
266	-294.696601	8.1297	9.0389	73.4836
267	-294.660012	8.1330	9.0350	73.4815
268	-294.671554	8.1361	9.0320	73.4852
269	-294.673204	8.1394	9.0296	73.4957
270	-294.721289	8.1439	9.0271	73.5151
271	-294.696608	8.1479	9.0229	73.5176
272	-294.660019	8.1506	9.0185	73.5064
273	-294.671560	8.1532	9.0150	73.5011
274	-294.673210	8.1560	9.0121	73.5028
275	-294.721295	8.1600	9.0091	73.5146
276	-294.696614	8.1635	9.0046	73.5085
277	-294.660025	8.1656	8.9997	73.4881
278	-294.671565	8.1677	8.9956	73.4739
279	-294.673215	8.1700	8.9922	73.4667
280	-294.721299	8.1737	8.9887	73.4709
281	-294.696618	8.1765	8.9838	73.4563
282	-294.660029	8.1782	8.9784	73.4269
283	-294.671569	8.1797	8.9739	73.4036
284	-294.673219	8.1815	8.9700	73.3877
285	-294.721303	8.1847	8.9660	73.3843
286	-294.696622	8.1871	8.9606	73.3611
287	-294.660033	8.1882	8.9547	73.3226
288	-294.671573	8.1892	8.9497	73.2904
289	-294.673222	8.1904	8.9453	73.2658
290	-294.721306	8.1933	8.9408	73.2548
291	-294.696624	8.1950	8.9351	73.2231
292	-294.660035	8.1956	8.9287	73.1756
293	-294.671575	8.1961	8.9231	73.1344
294	-294.673224	8.1968	8.9183	73.1011
295	-294.721308	8.1993	8.9133	73.0825
296	-294.696626	8.2004	8.9071	73.0424
297	-294.660037	8.2005	8.9002	72.9860
298	-294.671577	8.2004	8.8942	72.9359
299	-294.673226	8.2006	8.8888	72.8939
300	-294.721310	8.2027	8.8834	72.8678
301	-294.696628	8.2033	8.8768	72.8193
302	-294.660039	8.2028	8.8694	72.7540
303	-294.671579	8.2022	8.8629	72.6951
304	-294.673227	8.2019	8.8571	72.6445
305	-294.721311	8.2035	8.8512	72.6109
306	-294.696629	8.2036	8.8442	72.5541
