Step	PotentialEnergy	Width	Height	Area
115	-13561.938205	25.0000	25.0000	625.0000
116	-13650.552227	25.0000	25.0000	625.0000
117	-13267.169178	25.0000	25.0000	625.0000
118	-13916.378254	25.0000	25.0000	625.0000
119	-13639.928640	25.0000	25.0000	625.0000
120	-13847.301703	25.0000	25.0000	625.0000
121	-13893.867116	25.0000	25.0000	625.0000
122	-13420.839403	25.0000	25.0000	625.0000
123	-13493.864556	25.0000	25.0000	625.0000
124	-13474.991210	25.0000	25.0000	625.0000
125	-13916.997844	25.0000	25.0000	625.0000
126	-13385.470710	25.0000	25.0000	625.0000
127	-13243.474744	25.0000	25.0000	625.0000
128	-13110.239441	25.0000	25.0000	625.0000
129	-13370.938227	25.0000	25.0000	625.0000
130	-13341.851288	25.0000	25.0000	625.0000
131	-13568.365349	25.0000	25.0000	625.0000
132	-13480.605181	25.0000	25.0000	625.0000
133	-13295.959536	25.0000	25.0000	625.0000
134	-13492.044817	25.0000	25.0000	625.0000
135	-13290.867905	25.0000	25.0000	625.0000
136	-13647.320460	25.0000	25.0000	625.0000
137	-13030.926035	25.0000	25.0000	625.0000
138	-13202.883798	25.0000	25.0000	625.0000
139	-13718.742925	25.0000	25.0000	625.0000
140	-13593.945944	25.0000	25.0000	625.0000
141	-13501.084143	25.0000	25.0000	625.0000
142	-13683.810740	25.0000	25.0000	625.0000
143	-13899.297282	25.0000	25.0000	625.0000
144	-13755.382185	25.0000	25.0000	625.0000
145	-13766.131396	25.0000	25.0000	625.0000
146	-13850.211625	25.0000	25.0000	625.0000
147	-13460.693444	25.0000	25.0000	625.0000
148	-13937.735209	25.0000	25.0000	625.0000
149	-13580.191803	25.0000	25.0000	625.0000
150	-13409.856189	25.0000	25.0000	625.0000
151	-13841.493207	25.0000	25.0000	625.0000
152	-13414.001673	25.0000	25.0000	625.0000
153	-13366.069188	25.0000	25.0000	625.0000
154	-13317.710473	25.0000	25.0000	625.0000
155	-13013.513773	25.0000	25.0000	625.0000
156	-13844.471959	25.0000	25.0000	625.0000
157	-13190.865253	25.0000	25.0000	625.0000
158	-13154.969338	25.0000	25.0000	625.0000
159	-13202.653205	25.0000	25.0000	625.0000
160	-13140.275384	25.0000	25.0000	625.0000
161	-13369.192132	25.0000	25.0000	625.0000
162	-13146.015847	25.0000	25.0000	625.0000
163	-14110.860624	25.0000	25.0000	625.0000
164	-13600.503967	25.0000	25.0000	625.0000
165	-13358.671323	25.0000	25.0000	625.0000
166	-14349.529134	25.0000	25.0000	625.0000
167	-13879.782710	25.0000	25.0000	625.0000
168	-13916.930418	25.0000	25.0000	625.0000
169	-13282.123924	25.0000	25.0000	625.0000
170	-13164.080241	25.0000	25.0000	625.0000
171	-13364.793994	25.0000	25.0000	625.0000
172	-13621.265541	25.0000	25.0000	625.0000
173	-13804.907084	25.0000	25.0000	625.0000
174	-13830.384813	25.0000	25.0000	625.0000
175	-13517.042389	25.0000	25.0000	625.0000
176	-13893.511632	25.0000	25.0000	625.0000
177	-13873.926407	25.0000	25.0000	625.0000
178	-13815.814390	25.0000	25.0000	625.0000
179	-13912.905613	25.0000	25.0000	625.0000
180	-14146.694696	25.0000	25.0000	625.0000
181	-14097.645046	25.0000	25.0000	625.0000
182	-13722.290325	25.0000	25.0000	625.0000
183	-13365.715115	25.0000	25.0000	625.0000
184	-13697.008575	25.0000	25.0000	625.0000
185	-13470.750590	25.0000	25.0000	625.0000
186	-13903.490128	25.0000	25.0000	625.0000
187	-13780.317356	25.0000	25.0000	625.0000
188	-13832.150967	25.0000	25.0000	625.0000
189	-13435.003527	25.0000	25.0000	625.0000
190	-13585.764098	25.0000	25.0000	625.0000
